"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"Exercise 5 times a week","Attainability",2.75,NA,NA,NA,NA,NA,3.25,NA
"Exercise 5 times a week","Consensus",3.75,NA,NA,NA,NA,NA,1.5,NA
"Exercise 5 times a week","External",1.6,NA,NA,NA,NA,NA,2.4,NA
"Exercise 5 times a week","Instrumentality",4.5,NA,NA,NA,NA,NA,5,NA
"Exercise 5 times a week","Measurability",5,NA,NA,NA,NA,NA,5.5,NA
"Exercise 5 times a week","Value",2.85714285714286,NA,NA,NA,NA,NA,4.71428571428571,NA
"Exercise at least 4 times a week.","Attainability",3.25,NA,NA,NA,5.25,NA,NA,NA
"Exercise at least 4 times a week.","Consensus",2.25,NA,NA,NA,3,NA,NA,NA
"Exercise at least 4 times a week.","External",3,NA,NA,NA,4,NA,NA,NA
"Exercise at least 4 times a week.","Instrumentality",5,NA,NA,NA,4,NA,NA,NA
"Exercise at least 4 times a week.","Measurability",5,NA,NA,NA,7,NA,NA,NA
"Exercise at least 4 times a week.","Value",4.28571428571429,NA,NA,NA,4.71428571428571,NA,NA,NA
"Exercise for 60 minutes a day 5 times a week","Attainability",NA,5,NA,NA,NA,NA,3.5,NA
"Exercise for 60 minutes a day 5 times a week","Consensus",NA,-0.25,NA,NA,NA,NA,1.25,NA
"Exercise for 60 minutes a day 5 times a week","External",NA,4,NA,NA,NA,NA,3,NA
"Exercise for 60 minutes a day 5 times a week","Instrumentality",NA,5.5,NA,NA,NA,NA,5,NA
"Exercise for 60 minutes a day 5 times a week","Measurability",NA,5,NA,NA,NA,NA,5.5,NA
"Exercise for 60 minutes a day 5 times a week","Value",NA,5,NA,NA,NA,NA,4.42857142857143,NA
"Exercise more regularly to lose weight","Attainability",3.25,NA,NA,3.25,NA,NA,NA,NA
"Exercise more regularly to lose weight","Consensus",3.5,NA,NA,3.25,NA,NA,NA,NA
"Exercise more regularly to lose weight","External",1.2,NA,NA,3.2,NA,NA,NA,NA
"Exercise more regularly to lose weight","Instrumentality",4,NA,NA,4,NA,NA,NA,NA
"Exercise more regularly to lose weight","Measurability",3,NA,NA,3.5,NA,NA,NA,NA
"Exercise more regularly to lose weight","Value",3,NA,NA,3.57142857142857,NA,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Attainability",5,NA,NA,NA,5.75,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Consensus",3.25,NA,NA,NA,3.5,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","External",3.2,NA,NA,NA,5.4,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Instrumentality",4.5,NA,NA,NA,6.5,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Measurability",2.5,NA,NA,NA,3,NA,NA,NA
"Exercising and walking more to strengthen my lungs.","Value",2.85714285714286,NA,NA,NA,5,NA,NA,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Attainability",NA,NA,0.25,NA,NA,NA,3,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Consensus",NA,NA,2,NA,NA,NA,0,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","External",NA,NA,3,NA,NA,NA,3.4,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Instrumentality",NA,NA,5.5,NA,NA,NA,3,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Measurability",NA,NA,4.5,NA,NA,NA,5.5,NA
"Find a fence contractor and complete the fencing at rental house before end of May..","Value",NA,NA,3.85714285714286,NA,NA,NA,2.85714285714286,NA
"Find a good place for my wedding. At least 2 possible locations within a month.","Attainability",NA,NA,NA,NA,NA,NA,3,6.33333333333333
"Find a good place for my wedding. At least 2 possible locations within a month.","Consensus",NA,NA,NA,NA,NA,NA,1.75,0.75
"Find a good place for my wedding. At least 2 possible locations within a month.","External",NA,NA,NA,NA,NA,NA,4.2,4.6
"Find a good place for my wedding. At least 2 possible locations within a month.","Instrumentality",NA,NA,NA,NA,NA,NA,4.5,4.5
"Find a good place for my wedding. At least 2 possible locations within a month.","Measurability",NA,NA,NA,NA,NA,NA,4.5,4
"Find a good place for my wedding. At least 2 possible locations within a month.","Value",NA,NA,NA,NA,NA,NA,4.71428571428571,4.14285714285714
"Find a new full-time job","Attainability",3.5,NA,NA,NA,NA,1.25,NA,NA
"Find a new full-time job","Consensus",4.25,NA,NA,NA,NA,2.25,NA,NA
"Find a new full-time job","External",4.8,NA,NA,NA,NA,5.4,NA,NA
"Find a new full-time job","Instrumentality",6,NA,NA,NA,NA,4,NA,NA
"Find a new full-time job","Measurability",2.5,NA,NA,NA,NA,3,NA,NA
"Find a new full-time job","Value",3.42857142857143,NA,NA,NA,NA,4.42857142857143,NA,NA
"find a new girlfriend within three months","Attainability",NA,NA,NA,2.25,NA,NA,NA,5
"find a new girlfriend within three months","Consensus",NA,NA,NA,0,NA,NA,NA,0.5
"find a new girlfriend within three months","External",NA,NA,NA,2.8,NA,NA,NA,5.4
"find a new girlfriend within three months","Instrumentality",NA,NA,NA,2.5,NA,NA,NA,3.5
"find a new girlfriend within three months","Measurability",NA,NA,NA,5,NA,NA,NA,4
"find a new girlfriend within three months","Value",NA,NA,NA,3.83333333333333,NA,NA,NA,4
"find love","Attainability",0.5,NA,NA,NA,NA,NA,2,NA
"find love","Consensus",2,NA,NA,NA,NA,NA,3,NA
"find love","External",1.4,NA,NA,NA,NA,NA,3.8,NA
"find love","Instrumentality",3.5,NA,NA,NA,NA,NA,4,NA
"find love","Measurability",1,NA,NA,NA,NA,NA,1.5,NA
"find love","Value",4.85714285714286,NA,NA,NA,NA,NA,6.14285714285714,NA
"find more online contract income","Attainability",NA,7.33333333333333,NA,NA,NA,NA,NA,4.33333333333333
"find more online contract income","Consensus",NA,2,NA,NA,NA,NA,NA,2.25
"find more online contract income","External",NA,4,NA,NA,NA,NA,NA,3.2
"find more online contract income","Instrumentality",NA,5.5,NA,NA,NA,NA,NA,4.5
"find more online contract income","Measurability",NA,3,NA,NA,NA,NA,NA,2.5
"find more online contract income","Value",NA,3.85714285714286,NA,NA,NA,NA,NA,3
"Finish and sell my van conversion in two months","Attainability",NA,NA,NA,NA,3.25,NA,2.5,NA
"Finish and sell my van conversion in two months","Consensus",NA,NA,NA,NA,1.5,NA,0.25,NA
"Finish and sell my van conversion in two months","External",NA,NA,NA,NA,5,NA,3,NA
"Finish and sell my van conversion in two months","Instrumentality",NA,NA,NA,NA,4.5,NA,3.5,NA
"Finish and sell my van conversion in two months","Measurability",NA,NA,NA,NA,2.5,NA,5,NA
"Finish and sell my van conversion in two months","Value",NA,NA,NA,NA,5,NA,3.71428571428571,NA
"finish painting my office","Attainability",2,NA,NA,NA,5.75,NA,NA,NA
"finish painting my office","Consensus",-0.5,NA,NA,NA,-0.5,NA,NA,NA
"finish painting my office","External",4.4,NA,NA,NA,3.6,NA,NA,NA
"finish painting my office","Instrumentality",4,NA,NA,NA,4.5,NA,NA,NA
"finish painting my office","Measurability",2,NA,NA,NA,3.5,NA,NA,NA
"finish painting my office","Value",2.28571428571429,NA,NA,NA,3.28571428571429,NA,NA,NA
"finish painting the white trim on the exterior of my house","Attainability",NA,NA,0.666666666666667,NA,NA,3,NA,NA
"finish painting the white trim on the exterior of my house","Consensus",NA,NA,0,NA,NA,1.5,NA,NA
"finish painting the white trim on the exterior of my house","External",NA,NA,3.6,NA,NA,5,NA,NA
"finish painting the white trim on the exterior of my house","Instrumentality",NA,NA,4,NA,NA,5,NA,NA
"finish painting the white trim on the exterior of my house","Measurability",NA,NA,6,NA,NA,6.5,NA,NA
"finish painting the white trim on the exterior of my house","Value",NA,NA,2.28571428571429,NA,NA,3.28571428571429,NA,NA
"Finish Reading the Bible for my first time through","Attainability",NA,NA,NA,NA,NA,4.25,4.75,NA
"Finish Reading the Bible for my first time through","Consensus",NA,NA,NA,NA,NA,2.5,1,NA
"Finish Reading the Bible for my first time through","External",NA,NA,NA,NA,NA,5.8,4.75,NA
"Finish Reading the Bible for my first time through","Instrumentality",NA,NA,NA,NA,NA,4.5,4.5,NA
"Finish Reading the Bible for my first time through","Measurability",NA,NA,NA,NA,NA,5,6,NA
"Finish Reading the Bible for my first time through","Value",NA,NA,NA,NA,NA,3.14285714285714,3.42857142857143,NA
"finish reading the Legends of the Dragonrealm series","Attainability",NA,NA,NA,NA,NA,5.5,NA,6.33333333333333
"finish reading the Legends of the Dragonrealm series","Consensus",NA,NA,NA,NA,NA,2,NA,-0.75
"finish reading the Legends of the Dragonrealm series","External",NA,NA,NA,NA,NA,3,NA,1.4
"finish reading the Legends of the Dragonrealm series","Instrumentality",NA,NA,NA,NA,NA,5,NA,3.5
"finish reading the Legends of the Dragonrealm series","Measurability",NA,NA,NA,NA,NA,5.5,NA,4
"finish reading the Legends of the Dragonrealm series","Value",NA,NA,NA,NA,NA,3.71428571428571,NA,2.85714285714286
"Finish writing my third book. By June.","Attainability",NA,NA,NA,NA,5,2.75,NA,NA
"Finish writing my third book. By June.","Consensus",NA,NA,NA,NA,0.5,1.5,NA,NA
"Finish writing my third book. By June.","External",NA,NA,NA,NA,4.2,4.4,NA,NA
"Finish writing my third book. By June.","Instrumentality",NA,NA,NA,NA,5.5,5.5,NA,NA
"Finish writing my third book. By June.","Measurability",NA,NA,NA,NA,4,5,NA,NA
"Finish writing my third book. By June.","Value",NA,NA,NA,NA,5.28571428571429,4.14285714285714,NA,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Attainability",NA,NA,NA,NA,6,NA,4.75,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Consensus",NA,NA,NA,NA,1.25,NA,0.25,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","External",NA,NA,NA,NA,1.6,NA,2.6,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Instrumentality",NA,NA,NA,NA,4,NA,5,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Measurability",NA,NA,NA,NA,7,NA,6,NA
"For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","Value",NA,NA,NA,NA,2.71428571428571,NA,3.57142857142857,NA
"fostering relationship with girlfriend","Attainability",NA,NA,NA,NA,3,NA,3.75,NA
"fostering relationship with girlfriend","Consensus",NA,NA,NA,NA,2.25,NA,2.25,NA
"fostering relationship with girlfriend","External",NA,NA,NA,NA,4,NA,4,NA
"fostering relationship with girlfriend","Instrumentality",NA,NA,NA,NA,3,NA,5.5,NA
"fostering relationship with girlfriend","Measurability",NA,NA,NA,NA,2,NA,2,NA
"fostering relationship with girlfriend","Value",NA,NA,NA,NA,5.14285714285714,NA,5.28571428571429,NA
"Gain a new skill","Attainability",NA,NA,NA,3.75,NA,NA,NA,4
"Gain a new skill","Consensus",NA,NA,NA,2,NA,NA,NA,1.75
"Gain a new skill","External",NA,NA,NA,1.8,NA,NA,NA,1.75
"Gain a new skill","Instrumentality",NA,NA,NA,5,NA,NA,NA,4
"Gain a new skill","Measurability",NA,NA,NA,3.5,NA,NA,NA,1.5
"Gain a new skill","Value",NA,NA,NA,2.71428571428571,NA,NA,NA,2.71428571428571
"Get a better paying job","Attainability",NA,NA,NA,1.75,NA,NA,NA,4.66666666666667
"Get a better paying job","Consensus",NA,NA,NA,3.5,NA,NA,NA,4
"Get a better paying job","External",NA,NA,NA,4.2,NA,NA,NA,5.2
"Get a better paying job","Instrumentality",NA,NA,NA,3,NA,NA,NA,5.5
"Get a better paying job","Measurability",NA,NA,NA,4,NA,NA,NA,2.5
"Get a better paying job","Value",NA,NA,NA,3.71428571428571,NA,NA,NA,4.85714285714286
"Get a job. I need a job to get more money.","Attainability",NA,NA,NA,NA,5.5,NA,NA,6
"Get a job. I need a job to get more money.","Consensus",NA,NA,NA,NA,4,NA,NA,4
"Get a job. I need a job to get more money.","External",NA,NA,NA,NA,5.6,NA,NA,6.2
"Get a job. I need a job to get more money.","Instrumentality",NA,NA,NA,NA,7,NA,NA,5.5
"Get a job. I need a job to get more money.","Measurability",NA,NA,NA,NA,2.5,NA,NA,2
"Get a job. I need a job to get more money.","Value",NA,NA,NA,NA,6.28571428571429,NA,NA,5.57142857142857
"get Covid 19 vaccine asap","Attainability",NA,NA,5.25,NA,NA,NA,NA,7
"get Covid 19 vaccine asap","Consensus",NA,NA,1.5,NA,NA,NA,NA,3.25
"get Covid 19 vaccine asap","External",NA,NA,5.8,NA,NA,NA,NA,5.2
"get Covid 19 vaccine asap","Instrumentality",NA,NA,5.5,NA,NA,NA,NA,5
"get Covid 19 vaccine asap","Measurability",NA,NA,7,NA,NA,NA,NA,2
"get Covid 19 vaccine asap","Value",NA,NA,5.57142857142857,NA,NA,NA,NA,3.71428571428571
"get in better shape overall","Attainability",NA,NA,NA,3,4.5,NA,NA,NA
"get in better shape overall","Consensus",NA,NA,NA,2.75,4.25,NA,NA,NA
"get in better shape overall","External",NA,NA,NA,2.8,4.6,NA,NA,NA
"get in better shape overall","Instrumentality",NA,NA,NA,3.5,6.5,NA,NA,NA
"get in better shape overall","Measurability",NA,NA,NA,3,1,NA,NA,NA
"get in better shape overall","Value",NA,NA,NA,3.85714285714286,4.71428571428571,NA,NA,NA
"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","Attainability",NA,NA,NA,NA,6,NA,NA,NA
"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","Consensus",NA,NA,NA,NA,3.25,NA,NA,NA
"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","External",NA,NA,NA,NA,2.8,NA,NA,NA
"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","Instrumentality",NA,NA,NA,NA,4.5,NA,NA,NA
"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","Measurability",NA,NA,NA,NA,6,NA,NA,NA
"Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","Value",NA,NA,NA,NA,2.85714285714286,NA,NA,NA
"Get more iron in my diet by eating at least a pound of spinach every week.","Attainability",4.75,NA,NA,4,NA,NA,NA,NA
"Get more iron in my diet by eating at least a pound of spinach every week.","Consensus",2.5,NA,NA,1.5,NA,NA,NA,NA
"Get more iron in my diet by eating at least a pound of spinach every week.","External",2.8,NA,NA,3.2,NA,NA,NA,NA
"Get more iron in my diet by eating at least a pound of spinach every week.","Instrumentality",4,NA,NA,3.5,NA,NA,NA,NA
"Get more iron in my diet by eating at least a pound of spinach every week.","Measurability",5,NA,NA,5.5,NA,NA,NA,NA
"Get more iron in my diet by eating at least a pound of spinach every week.","Value",3.14285714285714,NA,NA,2.42857142857143,NA,NA,NA,NA
"get my child out of the house more","Attainability",NA,NA,NA,NA,NA,0,NA,5.33333333333333
"get my child out of the house more","Consensus",NA,NA,NA,NA,NA,2,NA,2.75
"get my child out of the house more","External",NA,NA,NA,NA,NA,4.4,NA,5.8
"get my child out of the house more","Instrumentality",NA,NA,NA,NA,NA,2.5,NA,5
"get my child out of the house more","Measurability",NA,NA,NA,NA,NA,4,NA,3
"get my child out of the house more","Value",NA,NA,NA,NA,NA,3.42857142857143,NA,5.14285714285714
"Get rid of excess household possessions and donate useable goods to charity","Attainability",NA,5,2.5,NA,NA,NA,4.25,NA
"Get rid of excess household possessions and donate useable goods to charity","Consensus",NA,2.5,2,NA,NA,NA,1.75,NA
"Get rid of excess household possessions and donate useable goods to charity","External",NA,4.6,3.4,NA,NA,NA,2,NA
"Get rid of excess household possessions and donate useable goods to charity","Instrumentality",NA,5,4,NA,NA,NA,4,NA
"Get rid of excess household possessions and donate useable goods to charity","Measurability",NA,3,5,NA,NA,NA,5,NA
"Get rid of excess household possessions and donate useable goods to charity","Value",NA,4.57142857142857,3.57142857142857,NA,NA,NA,3.71428571428571,NA
"Get straight As in school","Attainability",NA,4.25,NA,NA,NA,1.25,NA,NA
"Get straight As in school","Consensus",NA,2,NA,NA,NA,2.75,NA,NA
"Get straight As in school","External",NA,5,NA,NA,NA,5.2,NA,NA
"Get straight As in school","Instrumentality",NA,5,NA,NA,NA,4.5,NA,NA
"Get straight As in school","Measurability",NA,7,NA,NA,NA,4,NA,NA
"Get straight As in school","Value",NA,5.71428571428571,NA,NA,NA,5,NA,NA
"getting my small business off the ground in the next 6 months","Attainability",NA,NA,NA,NA,3.25,NA,NA,4.33333333333333
"getting my small business off the ground in the next 6 months","Consensus",NA,NA,NA,NA,1.25,NA,NA,1.5
"getting my small business off the ground in the next 6 months","External",NA,NA,NA,NA,3.6,NA,NA,4.8
"getting my small business off the ground in the next 6 months","Instrumentality",NA,NA,NA,NA,6,NA,NA,4.5
"getting my small business off the ground in the next 6 months","Measurability",NA,NA,NA,NA,5,NA,NA,4
"getting my small business off the ground in the next 6 months","Value",NA,NA,NA,NA,6.28571428571429,NA,NA,5.14285714285714
"Go back to college this summer to work on degree in three months","Attainability",4,NA,NA,NA,NA,NA,NA,6.33333333333333
"Go back to college this summer to work on degree in three months","Consensus",2.25,NA,NA,NA,NA,NA,NA,2.25
"Go back to college this summer to work on degree in three months","External",4.6,NA,NA,NA,NA,NA,NA,4.4
"Go back to college this summer to work on degree in three months","Instrumentality",6,NA,NA,NA,NA,NA,NA,5
"Go back to college this summer to work on degree in three months","Measurability",2.5,NA,NA,NA,NA,NA,NA,3.5
"Go back to college this summer to work on degree in three months","Value",4.14285714285714,NA,NA,NA,NA,NA,NA,4.57142857142857
"Grow and Improve My financial knowledge","Attainability",NA,NA,NA,NA,NA,3,NA,6
